name,rating,comments,author/translator,pub
小王子,9.0,213575,[法] 圣埃克苏佩里   马振聘,人民文学出版社   2003-8   22.00元
王尔德童话,9.1,11126,[英] 王尔德   王林,译林出版社   2003-6   6.00元
夜莺与玫瑰,8.5,6184,[英] 王尔德 著、查尔斯·罗宾逊 绘   林徽因,辽宁教育出版社   2011-9   34.00元
猜猜我有多爱你,9.3,8947,[英] 山姆·麦克布雷尼 文、安妮塔·婕朗 图   梅子涵,少年儿童出版社   2005-4   29.80元
夏洛的网,8.5,20269,[美] E.B.怀特   任溶溶,上海译文出版社   2004-5   17.00元
当世界年纪还小的时候,8.6,5861,[德] 于尔克·舒比格 著、[德] 罗特劳特·苏珊娜·贝尔纳 图   廖云海,四川少年儿童出版社   2006-10   28.00元
蓝熊船长的13条半命:一只海熊的半生回忆录,9.4,1731,[德] 瓦尔特·莫尔斯   李士勋,人民文学出版社   2002-1   39.80元
天蓝色的彼岸:关于生命和死亡最深刻的寓言,8.5,10837,（英）希尔   张雪松,新世界出版社   2003-12   19.80元
爱德华的奇妙之旅,8.7,4163,[美] 凯特·迪卡米洛、[美]马格拉姆·伊巴图林 绘   王昕若,新蕾出版社   2007   15.00元
安徒生童话故事集,9.1,34592,（丹麦）安徒生   叶君健,人民文学出版社   1997-08   25.00
牧羊少年奇幻之旅,8.6,46483,[巴西]保罗·柯艾略   丁文林,南海出版公司   2009-3-1   25.00元
失物之书,8.5,10904,[爱尔兰] 约翰·康诺利   安之,人民文学出版社   2009-4   29.90
格林童话全集,8.9,27997,格林兄弟   魏以新,人民文学出版社   1994-11   21.45元
银河铁道之夜:宫泽贤治童话,8.6,1845,(日)宫泽贤治   周龙梅,青岛出版社   2006   19.80
彼得·潘,8.8,9376,[英] 詹姆斯·巴里、孙国双 图   艾柯,哈尔滨出版社   2003-7   13.80元
安吉拉·卡特的精怪故事集,8.0,7265,[英] 安吉拉·卡特   郑冉然,南京大学出版社   2011-9   48.00元
狐狸与星,8.9,21,[英]科拉莉•比克福德-史密斯 著   庆山 译,未来出版社   2016-12-1   118.00元
狐狸的窗户,9.5,1982,(日)安房直子 文、(日)织茂恭子 绘   崔维燕,二十一世纪出版社   2009-8   21.80元
长腿叔叔:中英文对照本,8.5,7391,[美] 简·韦伯斯特   艾柯,华文出版社   2002-1   19.80元
柳林风声,8.9,634,[英] 肯尼斯·格雷厄姆 著、[澳] 罗伯特·英潘 绘   任溶溶,中国城市出版社   2012-7   98.00元
梦想家彼得,8.3,2435,[英] 伊恩·麦克尤恩   孙仲旭,南京大学出版社   2009-5   20.00
风与树的歌,9.3,2334,安房直子   彭懿,少年儿童出版社   2004-03-01   17.00元
圣诞男孩,8.9,76,[英] 马特·海格（Matt Haig）著、[英] 克里斯·穆德（Chris Mould）绘   马爱农,浙江文艺出版社   2016-12   42.80元
